lat,lng
41.6414438,-80.1514484
43.5249027,-96.7380257
31.5470221,-97.1243287
34.29039,-85.1802699
41.9865159,-70.9728396
40.2524308,-111.6502622
33.881922,-117.8956062
40.4379259,-79.9556424
35.9992263,-78.9472089
26.4588273,-81.7622951
38.8462236,-77.3063733
38.8462236,-77.3063733
38.8462236,-77.3063733
32.4259367,-81.7828033
41.1144992,-83.1779746
40.8665166,-124.0828396
40.7,-89.52
40.5087323,-77.9510209
37.3008211,-78.3952431
44.0153371,-73.16734
33.45622,-88.795708
45.6603986,-111.0451818
45.6603986,-111.0451818
35.5942137,-105.2227978
35.5942137,-105.2227978
35.7850545,-78.6819449
39.9990626,-83.0173386
44.5642722,-123.2785942
41.8426703,-71.4402467
36.7973473,-76.1899661
28.5950986,-81.3509416
42.8711,-78.8593199
43.1156031,-77.55621
41.0299672,-73.9282607
37.34,-121.88
37.348667,-121.936645
29.8942825,-97.9810845
33.5075555,-86.8093239
34.4135868,-119.8496976
35.7085641,-97.4165053
39.6673566,-75.7502314
38.7102377,-90.3042778
41.2453849,-96.01896
47.9536762,-97.1683543
37.7717185,-122.4438929
35.9433558,-83.9386991
44.4739489,-73.1943038
44.8755183,-91.9193422
40.1856597,-75.451571
37.7840208,-79.4428157
37.7840208,-79.4428157
37.2209494,-80.422801
39.654181,-79.9594886
39.654181,-79.9594886
48.7562157,-122.4894588
41.8745267,-88.1193763
46.0645809,-118.3430208
47.7528548,-117.4481445
47.7528548,-117.4481445
39.4457756,-83.804868
39.6710014,-84.1876983
39.9625984,-76.727745
39.9625984,-76.727745
32.5909562,-85.4929785
31.5470221,-97.1243287
39.1714266,-86.5186022
32.2777551,-106.7455792
29.7183467,-95.4306141
39.7017383,-75.1195107
39.9915379,-75.2187346
28.6013431,-81.2009287
28.6013431,-81.2009287
38.9043608,-104.7637619
40.1059233,-88.2120315
38.2169261,-85.7624992
35.6304783,-82.5510469
33.9963052,-81.027157
36.1341553,-80.2781262
38.8467082,-91.9479586
34.2024698,-118.8741429
42.2411499,-83.6129939
42.2411499,-83.6129939
37.9552246,-91.7727479
42.339904,-71.0898892
44.4488805,-88.0603806
42.3197827,-83.277359
31.3288416,-89.3315894
43.8041647,-91.1544963
43.03,-87.92
44.8755183,-91.9193422
42.3664506,-83.0737195
38.8817227,-94.5985613
21.6482858,-157.9225549
40.4379259,-79.9556424
43.5907792,-84.7788786
33.84,-79.05
38.4315993,-78.8651581
40.7686973,-73.9918181
39.3566383,-76.6354952
38.6039375,-89.8073195
41.1210115,-78.7583257
34.1707374,-117.702148
43.0802842,-71.4536835
40.1059233,-88.2120315
38.9908487,-76.944141
34.367641,-89.5391483
44.5235792,-89.574563
44.5235792,-89.574563
37.8392052,-94.3546719
41.6354154,-88.099845
42.3647559,-71.1032591
38.2169261,-85.7624992
35.3064021,-80.7332216
28.0634666,-82.4129729
47.2529105,-122.4417426
33.5718188,-85.098004
39.9506815,-75.6011672
40.7345053,-111.8628205
31.9708128,-81.1586515
42.4467049,-76.4830579
29.1987957,-81.0423429
41.6099344,-93.596457
39.8289369,-84.8902382
44.6697805,-74.9813084
35.3064021,-80.7332216
32.31651,-95.2514685
38.0340277,-78.510016
40.7388319,-73.9815337
34.680476,-82.8391552
34.680476,-82.8391552
36.0982762,-79.5115433
36.0982762,-79.5115433
38.8993373,-77.0485308
42.0288663,-93.6480307
43.3033056,-91.7857092
40.8971509,-73.9065883
46.5436199,-87.3953713
36.1484862,-86.9523954
29.6130239,-82.371937
46.7258512,-117.0125641
34.0220127,-118.2892046
27.926156,-82.4563199
40.2814786,-111.7733902
42.5834228,-71.8022955
30.41,-91.18
26.0695412,-80.2265545
41.3580484,-93.5574376
19.7241106,-155.0868193
42.6460285,-71.3646236
41.8703314,-87.6235742
40.7700703,-73.9580246
47.0979653,-88.5606025
40.9114271,-90.6473576
42.0488548,-87.8844309
42.0488548,-87.8844309
40.4475255,-79.9933976
36.1755178,-85.5039271
39.790486,-104.9000469
46.8090502,-92.0695841
43.100903,-75.232664
36.1390165,-86.7969244
36.1390165,-86.7969244
36.1390165,-86.7969244
38.8791783,-99.3267702
41.4437991,-87.7221872
41.4437991,-87.7221872
35.7830899,-83.9108968
44.8484524,-123.2339888
44.8484524,-123.2339888
46.9965144,-120.5478474
46.8610165,-96.7750468
38.8791783,-99.3267702
42.724305,-84.4796047
40.7322535,-73.9874105
41.1333371,-73.7924152
44.3106241,-69.7794897
41.39205,-73.9712488
33.9012386,-117.3910247
42.8270136,-75.5446238
41.3266814,-72.9637728
33.9488147,-84.5379455
38.9043608,-104.7637619
41.1078563,-80.6458715
41.1333371,-73.7924152
43.5595162,-83.9944777
41.640396,-70.9694555
34.2489458,-118.5258067
41.8940762,-87.8205864
39.6581424,-78.928357
39.8231401,-89.0466016
40.6986772,-73.9859414
40.7,-89.52
33.1630271,-117.1617685
43.0165459,-88.2947675
33.7700012,-84.3811458
39.3056685,-76.6354952
43.0915814,-77.6421577
33.4775837,-82.013465
41.15375,-81.35127
30.0498772,-94.0798435
40.8971509,-73.9065883
40.6599999,-73.65
42.6907733,-73.8279381
41.640396,-70.9694555
42.73416,-90.4784621
42.73416,-90.4784621
41.5471471,-85.8690933
33.207199,-87.5482025
42.3053253,-83.6694169
37.7840208,-79.4428157
34.1336186,-117.9075627
38.8993373,-77.0485308
34.9808062,-101.9155523
41.8703314,-87.6235742
36.30409,-82.36247
42.3647559,-71.1032591
42.3647559,-71.1032591
39.3460266,-76.5827767
33.954258,-83.3749322
35.9433558,-83.9386991
38.8467082,-91.9479586
45.5211732,-122.6806194
