institution,position,address,url,year
"U of Alabama, Birmingham","Assistant Professor of Rhetoric and Composition, Writing Center Director  [17298] ","English, HB 215D 1530 3rd Av S, Birmingham, AL 35294",http://www.uab.edu/english,2012-2013
" U of California, Santa Barbara",Lecturer  [17527] ,"English, 3431 South Hall c/o South Hall Administrative Support Ctr, Santa Barbara, CA 93106",http://www.writing.ucsb.edu,2012-2013
U of Central Oklahoma,Assistant Professor of English  [17238] ,"English, 100 N University Dr Box 184, Edmond, OK 73034",http://www.uco.edu/la/english/index.asp,2012-2013
U of Delaware,"Associate or Full Professor, Composition Studies  [17430] ","English, 212 Memorial Hall, Newark, DE 19716",http://www.udel.edu/udjobs,2012-2013
" U of Missouri, St Louis",Assistant Professor  [17287] ,"English, 484 Lucas Hall 1 University Blvd, St Louis, MO 63121",http://umsl.edu,2012-2013
"U of Nebraska, Omaha",Assistant Professor and Writing Center Director  [17478] ,"English, 6001 Dodge St, Omaha, NE 68182",http://www.unomaha.edu/english/,2012-2013
 U of North Dakota,Assistant Professor of Writing Studies  [17580] ,"English, 276 Centennial Dr. Stop 7209 110 Merrifield Hall, Grand Forks, ND 58202",http://arts-sciences.und.edu/english/index.cfm,2012-2013
 U of San Francisco,"Tenure-Track Assistant Professor, Poetry  [17252] ","English, 2130 Fulton St, San Francisco, CA 94117",http://apptrkr.com/270689,2012-2013
" U of Tennessee, Knoxville","Tenure-Track Assistant or Associate Professor, Rhetoric and Composition  [17552] ","English, 301 McClung Tower, Knoxville, TN 37996",http://web.utk.edu/~english/default.html,2012-2013
U of Vermont,Assistant Professor of Composition and Rhetoric [17316] ,"English, 400 Old Mill, 94 University Pl, Burlington, VT 05405",http://www.uvm.edu,2012-2013
U of Washington ,Assistant Professor: Composition and Rhetoric  [17325] ,"English, Box 354330 A101 Padelford Hall, Seattle, WA  98195",http://depts.washington.edu/engl/,2012-2013
U of Waterloo ,Open Rank position in Writing Studies  [17356] ,"English, 200 University Av W, Waterloo, ON Canada N2L 3G1",http://www.english.uwaterloo.ca,2012-2013
"U of Wisconsin, Stout","Assistant Professor of Professional Writing, Composition, and Rhetoric  [17508] ","English/Philos, 132 Harvey Hall, Menomonie, WI 54751",http://www.uwstout.edu/english/index.cfm,2012-2013
Ursinus College ,Director of Writing and Speaking Program  [17486] ,"English, PO Box 1000, Collegeville, PA 19426",http://ursinus.edu,2012-2013
Virginia Military Inst,Assistant Professor of Rhetoric and Composition  [17198] ,"English & Fine Arts, 227 Scott Shipp Hall, Lexington, VA 24450",http://www.vmi.edu,2012-2013
Virginia Military Inst,Assistant Professor of Rhetoric and Composition  [17199] ,"English & Fine Arts, 227 Scott Shipp Hall, Lexington, VA 24450",http://www.vmi.edu,2012-2013
Virginia Polytechnic Inst & SU,Assistant Professor of Professional Writing: Visual Rhetoric and Design  [17376] ,"English, 323 Shanks Hall 0112, Blacksburg, VA 24061",http://www.english.vt.edu,2012-2013
West Virginia U,"Assistant, Advanced Assistant or Associate Professor in Professional and Technical Writing  [17258] ","English, PO Box 6296 1503 University Av, Morgantown, WV 26506",http://www.english.wvu.edu,2012-2013
West Virginia U,"GEORGE & JULIA BATES WELCH JACKSON, MARY M. JACKSON & JULIA BATES JACKSON NICHOLS CHAIR OF ENGLISH  [17476] ","English, PO Box 6296 1503 University Av, Morgantown, WV 26506",http://www.english.wvu.edu,2012-2013
Western Washington U,Assistant Professor of Writing Studies  [17434] ,"English, 516 High St MS 9055, Bellingham, WA 98225",https://jobs.wwu.edu/JobPosting.aspx?JPID=3663,2012-2013
Wheaton C,Two Assistant Professors of English  [17290] ,"English, 501 College Av, Wheaton, IL 60187",http://www.wheaton.edu/hr,2012-2013
Whitman C,Assistant Professor of Composition in General Studies/Director of the Writing Center  [17630] ,"English, 345 Boyer St, Walla Walla, WA 99362",http://www.whitman.edu,2012-2013
Whitworth U,"Assistant Professor/Director, Writing Center  [17648] ","English, 300 W Hawthorne Rd, Spokane, WA 99251",http://www.whitworth.edu,2012-2013
 Whitworth U,Assistant Professor of English/Director of Writing Center  [17651] ,"English, 300 W Hawthorne Rd, Spokane, WA 99251",http://www.whitworth.edu,2012-2013
Wilmington C,Assistant professor of English  [17335] ,"English, Box 1308, Wilmington, OH 45177",http://www2.wilmington.edu,2012-2013
Wright SU,Assistant Professor of English & Academic Director of Developmental Writing  [17341] ,"English, 3640 Colonel Glenn Hwy, Dayton, OH 45435",http://jobs.wright.edu/postings/5523,2012-2013
York C of Pennsylvania,Assistant/Associate Professor of Rhetoric and Composition  [17586] ,"English & Humanities, 441 Country Club Rd, York, PA 17403",http://jobs.wright.edu/postings/5523,2012-2013
York C of Pennsylvania,Assistant/Associate Professor of Rhetoric and Composition  [17588] ,"English & Humanities, 441 Country Club Rd, York, PA 17403",http://jobs.wright.edu/postings/5523,2012-2013
Auburn University,Assistant Director of University Writing for the Miller Writing Center  [17806] ,"Office of University Writing, 3436 RBD Library, Auburn, AL 36849",http://auburn.edu/writing,2012-2013
Baylor University,Assistant Professor  [17723] ,"Baylor Interdisciplinary Core, Morrison Hall 101.1 One Bear Place #97350, Waco, TX 76798",http://www.baylor.edu/hr/index.php?id=81274,2012-2013
Indiana University,Assistant Professor of Composition and Rhetoric  [17715] ,"English, 1020 E Kirkwood Av, 442 Ballantine Hall, Bloomington, IN 47405",http://www.indiana.edu/~engweb,2012-2013
New Mexico State University ,Assistant Professor of English: Rhetoric  [17730] ,"English, 1385 International Mall Clara Belle Williams Rm 132, Las Cruces, NM 88003",http://www.nmsu.edu/~english/,2012-2013
Rice University,"DIRECTOR, Program in Writing and Communication (PWC), Rice University  [17708]","English, 6100 Main St, MS 30, Houston, TX 77005",http://pwc.rice.edu/,2012-2013
Rowan University ,Assistant Professor of Composition/Rhetoric  [17771] ,"Writing Arts, 201 Mullica Hill Rd, Glassboro, NJ 08028",http://rowan.edu/wa,2012-2013
 Saint Joseph''s University,"Assistant Professor, Rhetoric and Composition  [17784] ","English, 5600 City Av, Philadelphia, PA 19131",http://www.sju.edu/int/academics/cas/english/,2012-2013
