Institution,Position,Address,URL,
Allegheny College, Assistant Professor of Composition and Rhetoric  [17379],"English, 520 N Main St, Meadville, PA 16335",http://sites.allegheny.edu/english/,
Augustana College ,Assistant Professor/Writing Center Director  [17460] ,"English/Journalism, 2001 S Summit Av, Sioux Falls, SD 57197",http://www.augie.edu,
Baylor University ,Assistant Professor (Humanities/Classics/Great Texts in the Classical Tradition)  [17641] ,"Great Texts Program, One Bear Place #97144, Waco, TX 76798",http://www.baylor.edu,
Berry College ,Assistant Professor: Fiction  [17557] ,"English, Rhetoric & Writing, PO Box 350, Mt Berry, GA 30149",http://www.berry.edu/academics/humanities/english/,
Bridgewater State University,"Department of English, Assistant Professor in Composition and Rhetoric (tenure track)  [17207] ","English, 45 School St 340 Tillinghast Hall, Bridgewater, MA 02325",http://www.bridgew.edu,
Brigham Young University,Faculty-English [17615],"English, 4198A JFSB, Provo, UT 84602",http://www.byu.edu,
California State University Fullerton ,Assistant Professor of Rhetoric and Composition  [17230] ,"English, Comp Lit, & Linguistics, 800 N State College Blvd University Hall, Rm 323, Fullerton, CA 92831",http://fullerton.edu,
Carneige Mellon University ,Assistant Professor in Rhetoric  [17539] ,"English, 5000 Forbes Av Baker Hall 259, Pittsburgh, PA 15213",http://www.cmu.edu/hss/english/,
Carnegie Mellon University ,"Assistant or Associate Teaching Professor (Rhetoric/Composition, Second Language Writing)  [17548]",Qatar,http://www.cmu.edu/hss/english/,
City University of Hong Kong ,Professor (Rhetoric and Composition/English for Academic Purposes)  [17495] ,"English, Kowloon Tong, Kowloon Hong Kong",http://www.cityu.edu.hk/,
Duke University ,Lecturing Fellow  [17571] ,"Thompson Writing Prog, Box 90025, 101 Art Bldg, Durham, NC 27708",http://twp.duke.edu,
 Florida Gulf Coast University,"Composition & Rhetoric, Assistant Professor, Req. #1667  [17526] ","Lang & Lit, 10501 FGCU Blvd S, Fort Myers, FL 33965",http://jobs.fgcu.edu,
George Mason University,"Assistant Professor, Professional and Technical Writing  [17621] ","English, MSN 3E4, Fairfax, VA 22030",http://english.gmu.edu/,
 George Mason University,"Assistant Professor, Rhetoric / Composition  [17622] ","English, MSN 3E4, Fairfax, VA 22030",http://english.gmu.edu/,
George Mason University,"Director, Writing Across the Curriculum (WAC)  [17649] ","English, MSN 3E4, Fairfax, VA 22030",http://english.gmu.edu/,
Georgia Southern University,Chair and Associate Professor or Professor of Writing or Linguistics  [17627] ,"Writing & Linguistics, PO Box 8026, Statesboro, GA 30460",http://class.georgiasouthern.edu/,
Heidelberg U,Assistant Professor of English  [17485] ,"English, 310 E Market St, Tiffin, OH 44883",http://www.heidelberg.edu/offices/hr/employmentopp/ape,
Humboldt SU,Tenure-track Faculty: English Rhetoric & Composition [17403] ,"English, 1 Harpst St, Arcata, CA 95521",http://apptrkr.com/262903,
Illinois Central C,Associate Dean of English  [17245] ,"English, 1 College Dr Rm 315B, East Peoria, IL 61635",http://www.icc.edu/jobs,
Juniata College ,Assistant Professor of English  [17267] ,"English, 1700 Moore St, Huntingdon, PA 16652",http://www.juniata.edu,
Longwood U,Assistant Professor of English  [17663] ,"English & Mod Lang, 201 High St, Grainger Hall, Farmville, VA 23909",http://www.longwood.edu/,
Middlebury College ,Assistant Professor of Writing and Linguistics  [17582] ,"Spanish & Portuguese, Warner 014, Middlebury, VT 05753",http://apptrkr.com/274333,
Mississippi SU,Assistant Professor of Rhetoric and Composition  [17435] ,"English, Drawer E, Mississippi State, MS 39762",http://www.english.msstate.edu,
"Montana SU, Bozeman",Assistant Professor of Rhetoric and Composition  [17368] ,"English, 2-176 Wilson Hall, Bozeman, MT 59717",http://www1.english.montana.edu/,
"Montana SU, Bozeman","Director of the Montana State University Writing Center, Assistant/Associate Tenure Track Professor  [17371] ","English, 2-176 Wilson Hall, Bozeman, MT 59717",http://www1.english.montana.edu/,
New Mexico Highlands U,Assistant/Associate Professor of English (Tenure-Track)  [17674] ,"English & Philos, Box 9000, Las Vegas, NM 87701",http://www.nmhu.edu/jobs,
