Institution,Position,Address,URL
"Arizona SU, C of Integrative Sci & Arts","Open Rank Tenure-Line Faculty, Technical Communication [25550]","University C, 411 North Central Ave., Suite 300 Mailcode 0120, Phoenix, AZ 85004",https://apply.interfolio.com/37258
Augusta U,Assistant Professor of English [25411],"1120 15th St, Augusta, GA 30912",https://apply.interfolio.com/37220
Baylor U,Lecturer in English [25610],"Waco, TX 76798",https://apply.interfolio.com/37406
Baylor U,Postdoctoral Fellowship [25611],"Waco, TX 76798",https://apply.interfolio.com/37408
Boston U,"Assoc. Director for Writing in the Disciplines, Professor or Assoc. Prof. of the Practice [25585]","236 Bay State Rd, Boston, MA 02215",https://apply.interfolio.com/37366
California Inst of Tech,Hixon Postdoctoral Instructor in STEM Writing and Communication [25662],"1200 E California Blvd H&SS 228-77, Pasadena, CA 91125",https://apply.interfolio.com/37505
"California SU, San Marcos","Assistant Professor in Digital Rhetoric, Digital Writing, Digital Literature [25474]","333 S Twin Oaks Valley Rd, San Marcos, CA 92096",https://apply.interfolio.com/37242
Duke U,Lecturing Fellow [25366],"101 Art Bldg, Durham, NC 27708",https://apply.interfolio.com/37211
Erskine C,Professor of English [25580],"Due West, SC 29639",https://apply.interfolio.com/37362
Illinois SU,Assistant Professor in Technical Communication [25658],"Normal, IL 61790",https://apply.interfolio.com/37495
Illinois Valley Comm C,"English/Reading Instructor, Tenure Track, Spring 2017 [25414]","815 N Orlando Smith Rd, Oglesby, IL 61348",https://apply.interfolio.com/37221
Lindenwood U,"Assistant Professor, English [25635]","209 S Kingshighway, St Charles, MO 63301",https://apply.interfolio.com/37459
Miami U,Advanced Assist/Early Associate Professor and Director of Composition in English [25544],"356 Bachelor Hall, Oxford, OH 45056",https://apply.interfolio.com/37255
Middlebury C,Professor of Writing [25360],"15 Old Chapel Rd, Middlebury, VT 05753",https://apply.interfolio.com/36394
Montclair SU,Assistant Professor in Professional or Technical Writing [25583],"Upper Montclair, NJ 07043",https://apply.interfolio.com/37371
Montclair SU,"Open Rank, Writing Studies [25584]","Upper Montclair, NJ 07043",https://apply.interfolio.com/37372
National U of Singapore,Lecturer [25547],"10 Architecture Drive, Singapore 117511 Singapore",https://apply.interfolio.com/37256
New York U,Clinical Asst Professor First-Year/Writing Program (Interdisciplinary Humanities & Social Sciences) [25456],"715 Broadway, New York, NY 10003",https://apply.interfolio.com/36841
Oklahoma SU,Assistant Professor and Director of the University Writing Center [25507],"205 Morrill Hall, Stillwater, OK 74078",https://apply.interfolio.com/37249
