Institution,Position,Address,URL
Arkansas Tech U,Assistant Professor of English  [19162] ,"Russellville, AR 72801",https://apply.interfolio.com/22155
Armstrong Atlantic SU,Lecturer in English  [19497] ,"Savannah, GA 31419",https://apply.interfolio.com/22495
Azusa Pacific U,Assistant Professor of English  [19564] ,"Azusa, CA 91702",https://apply.interfolio.com/22715
Baylor U,Full-Time Lecturer in Technical Writing  [19389] ,"Waco TX 76798",https://apply.interfolio.com/22437
Bridgewater SU,"Dept. of English, Assistant Professor of Rhetoric and Composition (full time, tenure track)  [19546] "," Bridgewater, MA 02325",https://apply.interfolio.com/22686
Brigham Young U,Assistant Professor-English  [19209] ,"Provo, UT 84602 ",https://apply.interfolio.com/22364
California Polytechnic SU,Assistant Professor - Technical and Professional Communication  [19259] ,"San Luis Obispo, CA 93407",https://apply.interfolio.com/22623
Colorado SU,Assistant Professor of English: Rhetoric and Composition with Specialization in Digital Rhetorics  [19215] ,"Fort Collins, CO 80523 ",https://apply.interfolio.com/21962
Colorado SU,Assistant Professor of English: Rhetoric and Composition with Specialization in Public Rhetorics ,"Fort Collins, CO 80523 ",https://apply.interfolio.com/21963
Cottey College,Assistant Professor of English  [19320]," Nevada, MO 64772",https://apply.interfolio.com/22608
Embry-Riddle Aeronautical U,Assistant Professor in Humanities and Social Sciences  [19553] ,"Daytona Beach, FL 32114 ",https://apply.interfolio.com/22700
Florida Gulf Coast U,"Composition, Instructor I (5 positions), Reg. #1834  [19507] ","Fort Myers, FL 33965 ",https://apply.interfolio.com/22624
Florida Gulf Coast U,"Rhetoric & Composition, Assistant Professor, Req. #1865  [19513] ","Fort Myers, FL 33965 ",https://apply.interfolio.com/22626
Georgia C & SU,Assistant Professor of English (Composition/Rhetoric)  [19305] ,"Milledgeville, GA 31061 ",https://apply.interfolio.com/22406
 Georgia SU,Lecturer in Rhetoric and Composition  [19567] ,"Atlanta, GA 30302 ",https://apply.interfolio.com/22718
Georgia Southern U,Assistant Professor of Writing and Linguistics  [19420] ,"Statesboro, GA 30460 ",https://apply.interfolio.com/22446
Georgia Southern U,Assistant Professor of Professional and Technical Writing  [19421] ,"Statesboro, GA 30460 ",https://apply.interfolio.com/22447
Hobart & William Smith Colleges,Associate or advanced Assistant Professor of Writing and Rhetoric  [19535] ,"Geneva, NY 14456 ",https://apply.interfolio.com/22646
Indiana U,Assistant or Associate Professor in composition and rhetoric  [19466] ,"Bloomington, IN 47405 ",https://apply.interfolio.com/22479
 Lehigh U,Advanced Assistant Professor or Tenured Associate Professor in Composition and Rhetoric  [19425] ,"Bethlehem, PA 18015 ",https://apply.interfolio.com/22450
Longwood U,Assistant Professor Rhetoric and Professional Writing  [19298] ,"Farmville, VA 23909 ",https://apply.interfolio.com/22401
Loyola U Maryland,"Assistant Professor, Writing (Two Openings)  [19179] ","Baltimore, MD 21210 ",https://apply.interfolio.com/22353
Marquette U,Assistant Professor of English (Rhetoric and Composition)  [19319] ,"Milwaukee, WI 53201 ",https://apply.interfolio.com/22413
Marygrove C,Assistant Professor of English  [19444] ,"Detroit, MI 48221 ",https://apply.interfolio.com/22386
Miami U,Assistant Professor of English  [19232] ,"Oxford, OH 45056 ",https://apply.interfolio.com/22267
Molloy C,Assistant Professor of English  [19157] ,"Rockville Centre, NY 11571 ",https://apply.interfolio.com/22610
Moravian C,Assistant Professor of English  [19460] ,"Bethlehem, PA 18018 ",https://apply.interfolio.com/22469
Oberlin C,Assistant Professor in Rhetoric and Composition  [19223] ,"Oberlin, OH 44074 ",https://apply.interfolio.com/22373
Penn State U,Digital Humanities Design Consultant  [19301] ,"University Park, PA 16802 ",https://apply.interfolio.com/22538
Providence C,Assistant Professor of English  [19478] ," Providence, RI 02918 ",https://apply.interfolio.com/22488
Purdue U,Advanced-Assistant or Associate Professor of English—Rhetoric and Composition  [19397] ,"West Lafayette, IN 47907 ",https://apply.interfolio.com/22339
San Diego SU,Director University Writing Center (Associate Professor/Professor of Rhetoric and Writing)  [19176] ,"San Diego, CA 92182 ",https://apply.interfolio.com/22151
San Jose State University,Writing Across the Curriculum (WAC) Director  [19418] ,"San Jose, CA 95192 ",https://apply.interfolio.com/22454
San Jose State University,Assoc./Full Professor of Composition/Rhetoric and Writing Program Administrator  [19419] ,"San Jose, CA 95192 ",https://apply.interfolio.com/22451
San Jose State University,Assistant or Associate Professor to Coordinate Stretch Program  [19452] ,"San Jose, CA 95192 ",https://apply.interfolio.com/22448
Santa Clara U,Assistant Professor of Rhetoric and Composition  [19274] ,"Santa Clara, CA 95053 ",https://apply.interfolio.com/22231
"Southern Illinois U, Edwardsville",Assistant Professor of English: Rhetoric and Composition Studies  [19477] ,"Edwardsville, IL 62026 ",https://apply.interfolio.com/22611
Texas A&M U,"Advanced Assistant Professor, Gender and Sexuality Studies with an Emphasis in Rhetoric  [19311] ","College Station, TX 77843 ",https://apply.interfolio.com/22614
Texas Woman's U,Assistant/Associate Professors of English (Rhetoric)  [19534] ,"Denton, TX 76204 ",https://apply.interfolio.com/22645
" U of California, Davis",Assistant or Associate Professor in Rhetoric and Composition  [19436] ,"Davis, CA 95616 ",https://apply.interfolio.com/22456
"U of California, Santa Barbara",Lectureship in Composition  [19296] ,"Santa Barbara, CA 93106 ",https://apply.interfolio.com/22399
U of Cincinnati,"Assistant to Advanced Assistant Professor, Composition & Rhetoric  [19290] ","Cincinnati, OH 45221 ",https://apply.interfolio.com/22397
"U of Colorado, Colorado Springs",Assistant Professor of Rhetoric and/or Composition and Director of First Year Rhetoric and Writing  [19235] ,"Colorado Springs, CO 80918 ",https://apply.interfolio.com/22368
U of Evansville,First Year Seminar Instructor  [19237] ,"Evansville, IN 47722 ",https://apply.interfolio.com/22249
" U of Illinois, Urbana-Champaign",Assistant/Associate Professor in Writing Studies  [19332] ,"Urbana, IL 61801 ",https://apply.interfolio.com/22420
U of Kansas,Assistant Professor of English  [19451] ,"Lawrence, KS 66045 ",https://apply.interfolio.com/22466
U of Maryland,Assistant or Associate Professor of Rhetoric and Composition  [19539] ,"College Park, MD 20742 ",https://apply.interfolio.com/22649
 U of Massachusetts,"Associate Professor, Rhetoric and Composition  [19530] ","Amherst, MA 01003 ",https://apply.interfolio.com/22644
U of Nebraska,Assistant Professor of English  [19465] ,"Lincoln, NE 68588 ",https://apply.interfolio.com/22478
U of New Hampshire,Assistant Professor in Composition  [19156] ,"Durham, NH 03824 ",https://apply.interfolio.com/22239
"U of South Carolina, Columbia",Assistant Professor of English  [19370] ,"Columbia, SC 29208 ",https://apply.interfolio.com/22318
"U of South Carolina, Columbia",Assistant Professor of English  [19372] ,"Columbia, SC 29208 ",https://apply.interfolio.com/22319
U of Southern Mississippi,"Assistant Professor, Professional Writing and Public Discourse  [19334] ","Hattiesburg, MS 39406 ",https://apply.interfolio.com/22421
"U of Texas, Austin ",Assistant Professor of Rhetoric and Writing  [19273] ,"Austin, TX 78712",https://apply.interfolio.com/22245
U of Utah,"Assistant Professor, Writing and Rhetoric [19402]","Salt Lake City, UT 84112",https://apply.interfolio.com/22442
"U of Wisconsin, Stout",Assistant Professor of Professional/Technical Communication and Emerging Media  [19152] ,"English/Philos, 132 Harvey Hall, Menomonie, WI 54751 ",https://apply.interfolio.com/22236
Virginia Military Institute,Assistant Professor of English  [19422] ,"English, Rhetoric & Humanistic Studies, 227 Scott Shipp Hall, Lexington, VA 24450 ",https://apply.interfolio.com/22449
Virginia Polytechnic Inst & SU,Assistant Professor of Technical Communication  [19439] ,"English, 323 Shanks Hall 0112, Blacksburg, VA 24061 ",https://apply.interfolio.com/22459
Wabash College ,Assistant Professor of English  [19469] ,"English, PO Box 352, 301 W Wabash Av, Crawfordsville, IN 47933 ",https://apply.interfolio.com/22481
Wake Forest U,Assistant Teaching Professor in Writing Program  [19538] ,"English, PO Box 7387, Winston-Salem, NC 27109 ",https://apply.interfolio.com/22648
Wayne State University,Assistant or Associate Professor of Composition/Rhetoric  [19366] ,"Detroit, MI 48282",https://apply.interfolio.com/22432
"Bloomsburg U","Bloomsburg University of PA - Full-time, tenure-track Enlgish Professor  [19587] ","Bloomsburg, PA 17815 ",https://apply.interfolio.com/22766
Duke University,Lecturing Fellow  [19575] ,"Durham, NC 27708 ",https://apply.interfolio.com/22750
