Institution,Position,Address,URL
University of Kentucky,Dept. chair at the rank of Advanced Associate or Full Professor,"Lexington, KY 40506",http://apply.interfolio.com/26340
Ball State University,Assistant Professor  [21425] ,"Muncie, IN 47306",https://apply.interfolio.com/26160
Bentley U,"Tenure-Track Assistant Professor, Composition and Rhetoric  [21480] ","Waltham, MA ",https://apply.interfolio.com/26190
Bowling Green SU,Assistant Professorship in Rhetoric and Composition  [21326] ,"Bowling Green, OH 43403 ",https://apply.interfolio.com/26072
"Brooklyn C, CUNY",Assistant Professor - Rhetoric/Composition (Job # 11176)  [21332] ,"Brooklyn, NY 11210 ",https://apply.interfolio.com/26077
California Polytechnic SU,Assistant Professor of English - Composition and Rhetoric  [21478] ,"San Luis Obispo, CA 93407 ",https://apply.interfolio.com/26188
"California S Polytechnic U, Pomona",Assistant Professor in Rhetoric/Composition  [21452] ,"Pomona, CA 91768 ",https://apply.interfolio.com/26176
"California SU, Los Angeles",Assistant Professor of English  [21380] ,"Los Angeles, CA 90032 ",https://apply.interfolio.com/26127
Denison U,Coordinator of Multilingual Learning  [21342] ,"Granville, OH 43023 ",https://apply.interfolio.com/26082
Fontbonne U,Assistant Professor of English  [21396] ,"St Louis, MO ",https://apply.interfolio.com/25935
"California SU, San Bernardino",Assistant Professor of Rhetoric/Composition  [21467] ,"San Bernardino, CA 92407 ",https://apply.interfolio.com/26185
Georgia Southern U,Assistant Professor of Creative Writing  [21557] ,"Statesboro, GA 30460 ",https://apply.interfolio.com/26398
Gonzaga U,Assistant Professor of English  [21382] ,"Spokane, WA 99258 ",https://apply.interfolio.com/26128
Humboldt SU,English Tenure-track Position  [21401] ,"Arcata, CA 95521 ",https://apply.interfolio.com/26140
Indiana U,Assistant or Associate Professor of Composition and Rhetoric  [21253] ,"Bloomington, IN 47405 ",https://apply.interfolio.com/26053
New Mexico SU,Assistant Professor in Rhetoric and Professional Communication  [21558] ,"Las Cruces, NM 88003 ",https://apply.interfolio.com/26391
Oregon SU,Assistant Professor of English (Rhetoric and Comp/Literacy Studies and English Language Learners)  [21386] ,"Corvallis, OR 97331 ",https://apply.interfolio.com/26130
"Penn State U, Shenango",Instructor of English  [21501] ,"Sharon, PA 16146 ",https://apply.interfolio.com/26254
Portland SU,"Assistant Professor of English, Book Publishing & Digital Humanities  [21351] ","Portland, OR 97207 ",https://apply.interfolio.com/26106
Purdue U,"Advanced-Assistant or Associate Professor of English, Writing Center Administration  [21449] ","West Lafayette, IN 47907 ",https://apply.interfolio.com/26175
"SU of New York, U at Buffalo",Assistant Professor in Rhetoric of Science and Technology  [21440] ,"Buffalo, NY 14260 ",https://apply.interfolio.com/26170
Saint Louis C of Pharmacy,"Associate Professor, English  [21444] ","Saint Louis, MO 63110 ",https://apply.interfolio.com/26173
Saint Mary's C of California,Assistant Professor Rhetoric and Composition  [21481] ,"Moraga, CA 94575 ",https://apply.interfolio.com/26213
Salisbury U,"Assistant Professor, Tenure Track, Composition and Rhetoric: Digital Rhetoric  [21335] ","Salisbury, MD 21801 ",https://apply.interfolio.com/26079
San Jose SU,"Assistant Writing Programs Administrator (Assistant/Associate Professor, Tenure-Track)  [21529] ","San Jose, CA 95192 ",http://apply.interfolio.com/26300
Santa Clara U,Assistant Professor in Rhetoric and Composition  [21462] ,"Santa Clara, CA 95053 ",https://apply.interfolio.com/26181
Southern Connecticut SU,Assistant or Associate Professor of English  [21519] ,"New Haven, CT 06515 ",https://apply.interfolio.com/26293
Temple U,SEARCH CANCELLED Assistant Professor in composition/rhetoric  [21393] ,"Philadelphia, PA 19122 ",https://apply.interfolio.com/26139
Temple U,"Assistant Professor in Writing and ESL, Teaching & Instructional Track  [21553] ","Philadelphia, PA 19122 ",https://apply.interfolio.com/26373
Trinity C,Writing Program Faculty  [21517] ,"Hartford, CT 06106 ",https://apply.interfolio.com/26272
"U of Alabama, Huntsville",Assistant Professor of Technical Writing and New Media  [21584] ,"Huntsville, AL 35899 ",https://apply.interfolio.com/26463
"U of California, Davis",Assistant/Associate Professor in Rhetoric and Composition  [21483] ,"Davis, CA 95616 ",https://apply.interfolio.com/26214
U of Colorado,"Assistant Professor, Writing and Rhetoric  [21443] ","Boulder, CO 80309 ",https://apply.interfolio.com/26172
"U of Illinois, Urbana-Champaign","Director, Writers Workshop - Center for Writing Studies  [21493] ","Urbana, IL 61801 ",https://apply.interfolio.com/26225
"U of Missouri, Kansas City",Assistant Teaching Professor/Coordinator of Writing Assessment  [21310] ,"Kansas City, MO 64110 ",https://apply.interfolio.com/26068
U of Nebraska,Assistant Professor of English  [21390] ,"Lincoln, NE 68588 ",https://apply.interfolio.com/26134
"U of Nebraska, Kearney","Assistant Professor, Digital Rhetorics  [21383] ","Kearney, NE 68849 ",https://apply.interfolio.com/26129
U of Oregon,Instructor of English Language Learners  [21366] ,"Eugene, OR 97403 ",https://apply.interfolio.com/26122
U of Pittsburgh,"Assistant Professor in Composition with specialty in issues of race, ethnicity, or identity.  [21530] ","Pittsburgh, PA 15260 ",https://apply.interfolio.com/26314
U of Pittsburgh,Assistant Professor in Composition with specialty in digital research and pedagogy.  [21531] ,"Pittsburgh, PA 15260 ",https://apply.interfolio.com/26315
U of Pittsburgh,Assistant Professor in Composition with open sub-specialty.  [21532] ,"Pittsburgh, PA 15260 ",https://apply.interfolio.com/26316
U of South Alabama,Composition Director  [21549] ,"Mobile, AL 36688 ",https://apply.interfolio.com/26370
"U of Texas, San Antonio",Assistant Professor of English (Rhetoric and Composition)  [21457] ,"San Antonio, TX 78249 ",https://apply.interfolio.com/26177
U of Utah,Assistant Professor of Writing and Rhetoric  [21464] ,"Salt Lake City, UT 84112 ",https://apply.interfolio.com/26182
U of Washington,Lectureship - University of Washington Interdisciplinary Writing Program.  [21368] ,"Seattle, WA 98195 ",https://apply.interfolio.com/25894
US Air Force Acad,Assistant Professor in English  [21434] ,"USAF Academy, CO 80840",https://apply.interfolio.com/26167
US Military Acad,Assistant/Visiting Professors of English  [21439] ,"West Point, NY 10996 ",https://apply.interfolio.com/26224
Virginia Military Inst,Assistant Professor of English  [21246] ,"Lexington, VA 24450 ",https://apply.interfolio.com/26048
West Virginia U,"THE GEORGE AND JULIA BATES WELCH JACKSON, MARY M. JACKSON AND JULIA BATES JACKSON NICHOLS CHAIR  [21591] ","Morgantown, WV 26506 ",https://apply.interfolio.com/26484
Wheaton C,Non-Tenure Track Lecturer  [21373] ,"Wheaton, IL 60187 ",https://apply.interfolio.com/26125
Xavier U,Assistant Professor of English  [21445] ,"Cincinnati, OH 45207 ",https://apply.interfolio.com/26174
Birmingham-Southern College,"Assistant Professor of English, Director of Writing  [21640] ","Birmingham, AL 35254 ",https://apply.interfolio.com/26567
C of Charleston,Assistant Professor of English  [21656] ,"Charleston, SC 29424 ",https://apply.interfolio.com/26654
Duke U,Writing Studio Director  [21626] ,"Durham, NC 27708 ",https://apply.interfolio.com/26644
Duquesne U,Advanced Assistant or Associate Professor in Writing Studies  [21603] ,"Pittsburgh, PA 15282 ",http://apply.interfolio.com/26480
Elgin Comm C,English Instructor - Spring 2015 (Tenure Track)  [21666] ,"Elgin, IL 60123 ",https://apply.interfolio.com/26656
Louisiana SU & A&M C,"Professor (Associate or Full, Tenure-Track)  [21649] ","Baton Rouge, LA 70803 ",https://apply.interfolio.com/26650
North Dakota SU,Writing Program Administrator  [21598] ,"Fargo, ND 58108 ",https://apply.interfolio.com/26629
Singapore U of Technology & Design,"Postdoctoral Associate – Writing, Rhetoric, and Professional Communications  [21617] ",Singapore,https://apply.interfolio.com/26642
U of Alabama,"Composition, Rhetoric, and English Studies (CRES)  [21648] ","Tuscaloosa, AL 35487 ",https://apply.interfolio.com/26649
"U of California, Berkeley",Assistant Professor of the History and Rhetoric of Science and Technology  [21614] ,"Berkeley, CA 94720 ",https://apply.interfolio.com/26661
U of Central Florida,"Assistant Professor, Writing and Rhetoric  [21642] ","Orlando, FL 32816 ",https://apply.interfolio.com/26646
"U of Massachusetts, Dartmouth",Assistant Professor -Writing Digital and New Media  [21654] ,"North Dartmouth, MA 02747 ",https://apply.interfolio.com/26653
"U of Wisconsin, Eau Claire",Assistant Professor in Rhetoric and Composition: Digital Literacies Specialist  [21670] ,"Eau Claire, WI 54702 ",https://apply.interfolio.com/26657
"U of Wisconsin, Oshkosh",Assistant Professor of Professional Writing and Digital Humanities  [21601],"Oshkosh, WI 54901",https://apply.interfolio.com/26632
"SU of New York, U at Albany",WCI Lecturers  [21674] ,"Albany, NY 12222 ",https://apply.interfolio.com/26681
U of Massachusetts,Associate or Full Professor in Composition/Rhetoric [21639],"Amherst, MA 01003 ",https://apply.interfolio.com/26694
Appalachian SU,Assistant or Associate Professor of Professional Writing [21691],"Boone, NC 28608",https://apply.interfolio.com/26802
Auburn U,Assistant Professor of Rhetoric and Compostion  [21702] ,"Auburn University, AL 36849 ",https://apply.interfolio.com/26808
Brigham Young U-Hawaii,Open Rank Position in English  [21686] ,"Laie, HI 96762 ",https://apply.interfolio.com/26799
Eastern Michigan U,Assistant Professor in Rhetoric/Writing-Technical Communications  [21731] ,"Ypsilanti, MI 48197 ",https://apply.interfolio.com/26850
Elon U,"Assistant Professor of English, Tenure-track  [21720] ","Elon, NC 27244 ",https://apply.interfolio.com/26813
