Institution,Position,Address,URL
American U of Beirut,Assistant Professor in Rhetoric and Composition  [23427] ,"Beirut, Lebanon",https://apply.interfolio.com/31451
Baylor U,"Assistant Professor in Composition, Rhetoric, and Professional Writing [23314]","English, 1 Bear Pl, #97404, Waco, TX 76798 ",https://apply.interfolio.com/31224
Baylor U,Assistant to Associate Professor in Creative Writing/Poetry  [23315] ,"English, 1 Bear Pl, #97404, Waco, TX 76798",https://apply.interfolio.com/31225
Baylor U,Postdoctoral Fellowships  [23316] ,"English, 1 Bear Pl, #97404, Waco, TX 76798",https://apply.interfolio.com/31226
Bristol Comm C,Adjunct Faculty - English  [23241] ,"Humanities & Educ Div, 777 Elsbree St, Fall River, MA 02720 ",https://apply.interfolio.com/31204
"California S Polytechnic U, Pomona",Assistant Professor of English [23343],"English & For Langs, 3801 W Temple Av, Pomona, CA 91768",https://apply.interfolio.com/31240
"California SU, Fullerton","Director, Writing Across the Disciplines (Administrator III) [23469]","800 N. State College Blvd Room MH-133, Fullerton, CA 92831 ",https://apply.interfolio.com/31434
"California SU, Los Angeles",Director of Writing Across the Curriculum [23246],"English, 5151 State University Dr, Los Angeles, CA 90032",https://apply.interfolio.com/31206
"California SU, Los Angeles",Assistant Professor in Rhetoric and Composition [23402],"English, 5151 State University Dr, Los Angeles, CA 90032",https://apply.interfolio.com/31263
Duke U,Lecturing Fellow [23345],"101 Art Bldg, Durham, NC 27708 ",https://apply.interfolio.com/31242
Georgia Regents U,Assistant Professor of English/Director of Freshman English [23446],"1120 15th St, Augusta, GA 30912",https://apply.interfolio.com/31304
Georgia Regents U,Assistant Professor of English [23448],"1120 15th St, Augusta, GA 30912",https://apply.interfolio.com/31306
Georgia Southern U,Assistant Professor [23347],"PO Box 8026, Statesboro, GA 30460",https://apply.interfolio.com/31351
Georgia Southern U,"Assistant Professor, Writing Assessment [23376]","PO Box 8026, Statesboro, GA 30460",https://apply.interfolio.com/31249
Georgia Southern U,"Lecturer, First-Year Writing [23391]","PO Box 8026, Statesboro, GA 30460",https://apply.interfolio.com/31258
Humboldt State U,Faculty Tenure-Track Position in English: Rhetoric & Composition [23249],"1 Harpst St, Arcata, CA 95521 ",https://apply.interfolio.com/31208
Indiana U,Assistant Professor in Rhetoric  [23224] ,"442 Ballantine Hall, Bloomington, IN 47405",https://apply.interfolio.com/31198
Johns Hopkins U,Full Professor or Associate Professor [23226],"3400 N Charles St 14 Gilman Hall, Baltimore, MD 21218",http://apply.interfolio.com/30838
Lawrence Tech U,Assistant Professor of Composition [23383],"21000 W Ten Mile Rd, Southfield, MI 48075",https://apply.interfolio.com/31253
Louisiana SU & A&M C,"Assistant, Associate or Full Professor (Tenure-Track) [23271]","Allen Hall 260, Baton Rouge, LA 70803",https://apply.interfolio.com/31211
Marquette U,Assistant Professor of Rhetoric and Composition (2 positions) [23369],"335 Coughlin Hall, Milwaukee, WI 53201",https://apply.interfolio.com/31247
Michigan State University ,"Assistant Professor - Humanities, Culture & Writing [23319]","367 South Case Hall, East Lansing, MI 48825",https://apply.interfolio.com/31230
Mississippi State U,Assistant or Associate Professor of English and Director of Writing Center [23232],"Drawer E, Mississippi State, MS 39762",https://apply.interfolio.com/31450
Ohio U,Assistant Professor of Digital Rhetorics and Composition [23320],"360 Ellis Hall, Athens, OH 45701",https://apply.interfolio.com/31231
Oregon State U,Assistant Professor (Rhetoric and Composition/Literacy Studies and ELL)  [23280] ,"238 Moreland Hall, Corvallis, OR 97331",https://apply.interfolio.com/31214
"SU of New York, Fashion Inst of Tech","Associate Director of the Writing Studio, Faculty FT  [23477] ","Seventh Av at 27th St Rm B-831, New York, NY 10001 ",https://apply.interfolio.com/31448
Sam Houston SU,Assistant or Associate Professor in Creative Writing (Fiction and/or Creative Nonfiction)  [23286] ,"1901 University Av Ste 458, Huntsville, TX 77341",https://apply.interfolio.com/31218
Sam Houston SU,Professor/Department Chair  [23288] ,"1901 University Av Ste 458, Huntsville, TX 77341",https://apply.interfolio.com/31220
Sewanee: The U of the South,"Assistant, Associate, or Full Professor of Rhetoric & Director of Center for Speaking & Listening  [23245] ","735 University Av, Sewanee, TN 37383",https://apply.interfolio.com/31205
University of Oklahoma ,"Advanced Assistant/Associate Professor of Composition, Rhetoric, and Literacy Studies  [23458] ","760 Van Vleet Oval, Rm 113, Norman, OK 73019",https://apply.interfolio.com/31392
U of Saint Thomas,Assistant or Associate Professor of Professional Writing  [23450] ,"2115 Summit Av, Mail # JRC 333, St Paul, MN 55105 ",https://apply.interfolio.com/31308
U of San Diego,Advanced Asst or Assoc Prof of Rhetoric & Composition  [23209] ,"5998 Alcala Park, San Diego, CA 92110",https://apply.interfolio.com/30815
