Institution,Position,Address,URL
"U of South Carolina, Columbia",Assistant Professor of English Linguistics: Second-Language Writing Theory and Pedagogy  [23293] ,"1620 College St, Columbia, SC 29208",https://apply.interfolio.com/30969
"U of Tennessee, Chattanooga",Director of Composition  [23397] ,"615 McCallie Av, Chattanooga, TN 37403",https://apply.interfolio.com/31453
Utah State University,Assistant Professor of Technical and Professional Communication  [23434] ,"3200 Old Main Hill, Logan, UT 84322",https://apply.interfolio.com/31297
Virginia Military Inst,Assistant Professor of English  [23318],"227 Scott Shipp Hall, Lexington, VA 24450",https://apply.interfolio.com/31229
Virginia Polytechnic Inst & SU,Assistant Professor of Technical Communication and Rhetoric  [23366] ,"323 Shanks Hall 0112, Blacksburg, VA 24061",https://apply.interfolio.com/31245
Western Washington U,Assistant Professor of Writing Studies  [23317] ,"516 High St MS 9055, Bellingham, WA 98225 ",https://apply.interfolio.com/31228
Alma College ,"Assistant Professor of English, Director of Writing Center  [23544] ","614 W Superior St, Alma, MI 48801",https://apply.interfolio.com/31645
Alma College ,"Assistant Professor of English, Composition and Digital Rhetoric  [23545] ","614 W Superior St, Alma, MI 48801",https://apply.interfolio.com/31646
"U of Tennessee, Knoxville",Assistant Professor of Technical and Professional Communication  [23532] ,"301 McClung Tower, Knoxville, TN 37996",http://apply.interfolio.com/31085
University of Kentucky,"Assistant Professor of Writing, Rhetoric, and Digital Studies [rhetmap 1]","20 Patterson Dr, Lexington, KY 40506",http://ukjobs.uky.edu/postings/79929
Clarkson University,Associate/Full Professor of Communication and Media [rhetmap 2],"Potsdam, NY 13699","https://clarkson.peopleadmin.com/postings/2552	"
Clarkson University,Instructor/Assistant Professor of Communication & Media [rhetmap 3],"Potsdam, NY 13699","https://clarkson.peopleadmin.com/postings/2553	"
Emporia State U,Director of Composition  [23573],"1 Kellogg Cir, CB 4019, Emporia, KS 66801",https://apply.interfolio.com/31742
Georgia Regents U,"Writing Center Director, at the rank of Assistant Professor (tenure-track)  [23527] ","1120 15th St, Augusta, GA 30912",https://apply.interfolio.com/31727
Indiana U Pennsylvania,Assistant Professor - Composition & TESOL  [23571],"110 Leonard Hall, Indiana, PA 15705 ",https://apply.interfolio.com/31736
Indiana U Pennsylvania,Assistant Professor - Composition & Assessment  [23572] ,"110 Leonard Hall, Indiana, PA 15705",https://apply.interfolio.com/31741
Kansas State University,"Assistant Professor, Professional and Technical Writing  [23559] ","108 English & CS Bldg, Manhattan, KS 66506",https://apply.interfolio.com/31703
Miami U,"Assistant Professor in Intercultural Rhetorics, Second Language Writing  [23546] ","356 Bachelor Hall, Oxford, OH 45056 ",https://apply.interfolio.com/31724
Pacific U,Assistant Professor of English  [23513] ,"2043 College Way, Forest Grove, OR 97116",https://apply.interfolio.com/31714
Rollins College,Assistant Professor of Writing Studies  [23533] ,"Campus Box 2666, Winter Park, FL 32789",https://apply.interfolio.com/31718
Syracuse University,Assistant Professor in Rhetoric and Composition  [23549],"239 H B Crouse Hall, Syracuse, NY 13244",https://apply.interfolio.com/31726
Texas A&M U,Assistant Professor in Rhetoric  [23586] ,"4227 TAMU, College Station, TX 77843",https://apply.interfolio.com/31710
"U of Wisconsin, Oshkosh",Assistant Professor of Professional Writing and Digital Humanities  [23520],"800 Algoma Blvd, Oshkosh, WI 54901",https://apply.interfolio.com/31716
Wake Forest University,Assistant Teaching Professor  [23576] ,"PO Box 7387, Winston-Salem, NC 27109",https://apply.interfolio.com/31731
Auburn U,Assistant Professor of Rhetoric and Compostion  [23672] ,"9030 Haley Ctr, Auburn University, AL 36849 ",https://apply.interfolio.com/31962
Auburn U,Assistant Professor in Techinical and Professional Communication  [23674] ,"9030 Haley Ctr, Auburn University, AL 36849",https://apply.interfolio.com/31963
Buena Vista U,Assistant Professor of English  [23660] ,"610 W 4th St, Storm Lake, IA 50588",https://apply.interfolio.com/31956
Catawaba C,Assistant Professor of English  [23603],"2300 W Innes St, Salisbury, NC 28144",https://apply.interfolio.com/31829
Grand Valley SU,Assistant/Associate Professor of Writing  [23612] ,"1 Campus Dr, Lake Ontario Hall, Allendale, MI 49401",https://apply.interfolio.com/31929
"Kansas SU, Salina",Assistant Professor or Instructor  [23621],"2310 Centennial Rd, Salina, KS 67401",https://apply.interfolio.com/31932
Old Dominion U,New Media/Writing Studies – Assistant Professor  [23639] ,"5215 Hampton Blvd, Norfolk, VA 23529",https://apply.interfolio.com/31941
Old Dominion U,Writing Studies – Open Rank  [23643],"5215 Hampton Blvd, Norfolk, VA 23529",https://apply.interfolio.com/31945
"SUNY C of Tech, Delhi",Assistant Professor: English and Literature  [23604] ,"2 Main St, Delhi, NY 13753 ",https://apply.interfolio.com/31923
Susquehanna U,Assistant Professor of Digital Publishing and Writing  [23678],"PO Box 1857, 514 Univrsty Av, Selinsgrove, PA 17870",https://apply.interfolio.com/31964
U of Central Florida,Assistant Professor [23616],"PO Box 161345, Orlando, FL 32816",https://apply.interfolio.com/31930
"U of Nevada, Reno","Assistant Professor, Rhetoric and Composition  [23636] ","Dept of English/0098, Reno, NV 89557 ",https://apply.interfolio.com/31938
"U of Nevada, Reno",Assistant Professor (Creative Writing)  [23667] ,"Dept of English/0098, Reno, NV 89557 ",https://apply.interfolio.com/31959
Valparaiso U,"Assistant Professor, Medieval Literature and Professional/Technical Writing  [23689] ","1409 Chapel Dr, Valparaiso, IN 46383 ",https://apply.interfolio.com/31972
Weber SU,Assistant Professor of English  [23646] ,"1395 Edvalson St, Dept 1404, Ogden, UT 84408",https://apply.interfolio.com/31948
Texas Tech University,Assistant Professor of Rhetoric and Technical Communication [rhetmap 4],"Lubbock, TX 79409",http://goo.gl/sPgsoE
Capital U,"Assistant Professor, English  [23718] ","Columbus, OH 43209",https://apply.interfolio.com/32090
Gonzaga U,Assistant Professor of English  [23742] ,"502 E Boone Av, Spokane, WA 99258",https://apply.interfolio.com/32152
Miami U,Howe Professor of English and Director of the Howe Center for Writing Excellence  [23729] ,"Oxford, OH 45056",https://apply.interfolio.com/32146
"SU of New York, C at Potsdam",Assistant Professor of Rhetoric and/or Composition  [23783] ,"44 Pierrepont Av, Potsdam, NY 13676",https://apply.interfolio.com/32167
Saint Anslem U,Assistant Professor 19th Century American Literature [23717],"100 Saint Anselm Dr Box 1647, Manchester, NH 03102",https://apply.interfolio.com/32143
"U of Hawaii, West Oahu",Assistant Professor in Rhetoric and Composition  [23784] ,"91-1001 Farrington Hwy, Kapolei, HI 96707",https://apply.interfolio.com/32168
"U of North Carolina, Charlotte",Associate or Full Professor in Digital Rhetorics  [23740] ,"9201 University City Blvd, Charlotte, NC 28223",https://apply.interfolio.com/32151
U of North Georgia,Assistant Professor of Rhetoric and Composition  [23743] ,"Dahlonega, GA 30597",https://apply.interfolio.com/32153
West Virginia U,Teaching Assistant Professor - Professional & Technical Writing/Advising Specialist  [23704] ,"PO Box 6296 1503 University Av, Morgantown, WV 26506 ",https://apply.interfolio.com/32136
West Virginia U,Teaching Assistant Professor - English Composition/Associate Undergraduate Writing Coordinator  [23705] ,"PO Box 6296 1503 University Av, Morgantown, WV 26506 ",https://apply.interfolio.com/32137
Westminster C,Assistant Professor of English  [23707] ,"501 Westminster Av, Fulton, MO 65251",https://apply.interfolio.com/32138
SU of New York Fashion Inst of Tech,Full-Time Faculty Position in Composition and Rhetoric  [23787] ,"Seventh Av at 27th St Rm B-831, New York, NY 10001",https://apply.interfolio.com/32212
Salem State U,"Faculty, Writing Center Coordinator, Full-Time, Tenure-Track, Fall 2016  [23788]","352 Lafayette St, 249 Meier Hall, Salem, MA 01970 ",https://apply.interfolio.com/32213
Bethany College,Assistant Professor of English Education and Composition  [23802] ,"31 E Campus Dr, Bethany, WV 26032",https://apply.interfolio.com/32317
"California SU, Fresno","Assistant Professor, Rhetoric and Composition with emphasis in Ethnic Rhetorics & Literacy/Writing  [23806] ","5245 N Backer Av, M/S PB98, Fresno, CA 93740",https://apply.interfolio.com/32321
Kettering U,Assistant Professor  [23796] ,"1700 W University Av, Flint, MI 48504",https://apply.interfolio.com/32313
Morgan SU,Assistant/Associate/Professor  [23839] ,"1700 E Cold Spring Ln, 202 Holmes Hall, Baltimore, MD 21251",https://apply.interfolio.com/32287
Cornell U,Writing Center Director/Lecturer or Senior Lecturer  [23815] ,"174 Rockefeller Hall, Ithaca, NY 14853 ",https://apply.interfolio.com/32327
Missouri U of Science & Tech,Distinguished Professor  [23814] ,"500 W 14th St 236 H-SS, Rolla, MO 65409 ",https://apply.interfolio.com/32326
U of Oregon,Instructor of English  [23797] ,"1286 Univ of Oregon, Eugene, OR 97403",https://apply.interfolio.com/32314
U of Toledo ,Assistant Professor of Rhetoric and Composition [23811],"2801 W Bancroft, Toledo, OH 43606 ",https://apply.interfolio.com/32323
Washington SU,"Assistant Professor, Technical Communication  [23800] ","Pullman, WA 99164",https://apply.interfolio.com/32316
Emory U,"Writing Center Director and Assistant/Associate Professor, tenure track  [23827] ","100 Hamill St, Oxford, GA 30054",https://apply.interfolio.com/32333
Middle Tennessee SU,Rhetoric and Composition Tenure-Track Faculty  [23840] ,"PO Box 70 1301 E Main St, Murfreesboro, TN 37132",https://apply.interfolio.com/32337
"U of California, Irvine",Digital Humanities/Pedagogy Postdoctoral Fellowship 2015-2017  [23844] ,"435 Humanities Instructnl Bldg, Irvine, CA 92697",https://apply.interfolio.com/32341
U of Northern Colorado,Assistant Professor English  [23849],"501 20th St Campus Box 109, Greeley, CO 80639",https://apply.interfolio.com/32344
U of Tulsa,Applied Assistant/Applied Associate Professor and Director of the Writing Program [23870],"800 S Tucker Dr, Tulsa, OK 74104",https://apply.interfolio.com/32354
U of Virginia,Assistant Professor of English--Digital Writing and Rhetoric  [23862] ,"219 Bryan Hall, Charlottesville, VA 22904 ",https://apply.interfolio.com/32352
U of Pittsburgh,Assistant Professor in Writing with Specialty in Digital Storytelling [23871],"526 Cathedral of Learning, Pittsburgh, PA 15260",http://apply.interfolio.com/32023
U of Pittsburgh,Lecturer in Composition and Public and Professional Writing  [23875] ,"526 Cathedral of Learning, Pittsburgh, PA 15260",http://apply.interfolio.com/32024
Appalachian State U ,Assistant Professor of Professional Writing  [23939] ,"ASU Box 32052, Boone, NC 28608",https://apply.interfolio.com/32536
"Auburn U, Montgomery",Assistant Professor of Composition and Rhetoric  [23882] ,"PO Box 244023, Montgomery, AL 36124",https://apply.interfolio.com/32518
Ball State U,Assistant Professor - Rhetoric and Composition  [23928] ,"2000 W University Av Robert Bell 297, Muncie, IN 47306",https://apply.interfolio.com/32533
Comm C of Philadelphia,"English-Communication Studies Faculty, Full-Time  [23920] ","1700 Spring Garden St, Philadelphia, PA 19130",https://apply.interfolio.com/32528
Comm C of Philadelphia,"English-Generalist Faculty, Full-Time  [23921]","1700 Spring Garden St, Philadelphia, PA 19130",https://apply.interfolio.com/32529
Florida Gulf Coast U,"Composition, Instructor I, Req. #2409 (2 Positions)  [24002] ","10501 FGCU Blvd S, Fort Myers, FL 33965 ",https://apply.interfolio.com/32556
Florida Intl U,"Assistant Professor, Professional and Technical Writing  [23934] ","English, 11200 SW 8 St, DM 453, Miami, FL 33199",https://apply.interfolio.com/32534
George Mason U,"Assistant Professor, Professional Writing and Rhetoric  [23960] ","MSN 3E4, Fairfax, VA 22030 ",https://apply.interfolio.com/32537
George Mason U,"Director of Composition, Assistant Professor  [23962] ","MSN 3E4, Fairfax, VA 22030 ",https://apply.interfolio.com/32538
Midwestern State U,Assistant Professor of English (Technical and Professional Communication)  [23935] ,"3410 Taft Blvd, Wichita Falls, TX 76308",https://apply.interfolio.com/32535
New York University ,FULL-TIME FACULTY Liberal Studies  [23885] ,"726 Broadway Room 624, New York, NY 10003",https://apply.interfolio.com/32409
North Carolina State University,"Assistant Professor, Technical Communication  [23967] ","PO Box 8105, Raleigh, NC 27695",https://apply.interfolio.com/32542
North Central College,English - Tenure-Track  [23986],"30 N Brainard St, CM 375, Naperville, IL 60540",https://apply.interfolio.com/32497
Northwestern State U of Lousiana,Assistant/Associate Professor of English [23897],"165 Sam Sibley Dr, Ste 318, Natchitoches, LA 71497",https://apply.interfolio.com/32524
Oregon SU-Cascades Campus,Instructor - Writing  [23989],"650 SW Columbia St CGRC#244, Bend, OR 97701",https://apply.interfolio.com/32549
Ponoma College,"Director of College Writing, Pomona College [23900]","Smith Campus Center 148 170 East Sixth St, Claremont, CA 91711",https://apply.interfolio.com/32526
Southwest Minnesota SU,Assistant Professor Of English  [23988],"1501 State St, Marshall, MN 56258",https://apply.interfolio.com/32548
"Texas A&M U, Corpus Christi","Assistant/Associate Professor, English (Technical & Professional Writing)  [23997] ","6300 Ocean Dr, Corpus Christi, TX 78412",https://apply.interfolio.com/32552
Towson U,Assistant or Associate Professor of English  [23973] ,"8000 York Rd, Towson, MD 21252",https://apply.interfolio.com/32544
U of Southern California,Full-Time Non-Tenure-Track Positions in Writing  [23990] ,"950 W Jefferson Blvd, Rm 150 JEF 150, MC 1293, Los Angeles, CA 90089",https://apply.interfolio.com/32550
U of Virginia,Management Communication Lecturer  [23891] ,"PO Box 400173, Charlottesville, VA 22904",https://apply.interfolio.com/32563
Wheaton C,Visiting Assistant Professor  [23985] ,"501 College Av, Wheaton, IL 60187",https://apply.interfolio.com/32547
U of Virginia ,Assistant Professor of English - Digital Writing and Rhetoric  [23895] ,"219 Bryan Hall, Charlottesville, VA 22904",https://apply.interfolio.com/32522
Dominican U of California,Assistant Professor of English  [24026] ,"50 Acacia Av, San Rafael, CA 94901",https://apply.interfolio.com/32716
Palomar C,"Assistant Professor, English (Two Positions)  [24039] ","1140 W Mission Rd, San Marcos, CA 92069 ",https://apply.interfolio.com/32719
"Penn State U, Abington","Tenure-Track Asst Professor, English: Writing/Creative Writing  [24068] ","1600 Woodland Rd, Abington, PA 19001 ",https://apply.interfolio.com/32731
Pittsburg SU,Assistant Professor of English  [24048] ,"1701 S Broadway, Pittsburg, KS 66762",https://apply.interfolio.com/32723
U of Connecticut,Aetna Chair of Writing  [24040] ,"215 Glenbrook Rd, Unit 4025, Storrs, CT 06269",https://apply.interfolio.com/32720
"U of Hawaii, Manoa",advanced Assistant or early Associate Professor of English (Composition and Rhetoric)  [24023] ,"1733 Donaghho Rd, Kuy 402, Honolulu, HI 96822 ",https://apply.interfolio.com/32675
U of Tampa,Assistant Professor of English and Writing (Digital Literacies)  [24029] ,"401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/32717
U of Tampa,Assistant Professor of English in Academic Writing (AWR)  [24031] ,"401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/32718
West Chester U,Assistant Professor of Digital Rhetoric  [24043],"720 S High St Main Hall 532, West Chester, PA 19383",https://apply.interfolio.com/32721
Western Oregon U,First-Year Writing Coordinator/English Faculty  [24015] ,"345 N Monmouth Av, Monmouth, OR 97361 ",https://apply.interfolio.com/32715
Winona SU,Assistant Professor of Rhetoric & Composition  [24061] ,"302 Minne Hall, Winona, MN 55987",https://apply.interfolio.com/32729
Winthrop U,Assistant/Associate Professor of English in Professional Writing  [24051] ,"Oakland Av, Rock Hill, SC 29733 ",https://apply.interfolio.com/32725
"Baruch C, CUNY",Assistant Professor of English (tenure-track)  [24108] ,"1 Bernard Baruch Way, New York, NY 10010",https://apply.interfolio.com/32850
Belmont Abbey C,Assistant Professor of English  [24115] ,"100 Belmont Mount Holly Rd, Belmont, NC 28012 ",https://apply.interfolio.com/32853
Hamline U,Assistant Professor in Professional Writing and Rhetoric  [24102] ,"1536 Hewitt Av, #156, St Paul, MN 55104",https://apply.interfolio.com/32845
Johnson U,Assistant Professor of Rhetoric and Composition  [24088] ,"7900 Johnson Dr, Knoxville, TN 37998",https://apply.interfolio.com/32840
Roger Williams U,Assistant Professor of Writing Studies -- 2 Tenure-Track  [24091] ,"One Old Ferry Road, Bristol, RI 02809",https://apply.interfolio.com/32862
"U of California, San Diego",Director of Basic Writing Program  [24094] ,"9500 Gilman MC 0406, La Jolla, CA 92093 ",https://apply.interfolio.com/32841
U of Mississippi,Instructor of Composition and Rhetoric  [24086] ,"100 Somerville Hall, University, MS 38677",https://apply.interfolio.com/32838
"U of South Carolina, Beaufort",Assistant Professor - Open Rank Professor of Composition and Rhetoric: Writing Program Administrator  [24104] ,"1 University Blvd, Bluffton, SC 29909 ",https://apply.interfolio.com/32846
U of Southern Mississippi,"Instructor, Department of English, Composition  [24079] ","118 College Dr, #5037, Hattiesburg, MS 39406 ",https://apply.interfolio.com/32834
West Chester U,"Assistant Professor, Generalist in Professional Writing with Interest in Technical Editing  [24106]","720 S High St Main Hall 532, West Chester, PA 19383",https://apply.interfolio.com/32848
West Chester U,"Assistant Professor, Generalist in Professional Writing with Interest in Health Communication  [24107]","720 S High St Main Hall 532, West Chester, PA 19383",https://apply.interfolio.com/32849
"California SU, Sacramento",Assistant Professor of English  [24162] ,"6000 J St, Sacramento, CA 95819 ",https://apply.interfolio.com/32955
Colorado Mesa U,Assistant Professor of English  [24163] ,"1100 North Av, Grand Junction, CO 81501 ",https://apply.interfolio.com/32956
Frostburg SU,Instructor/Assistant Professor of English: Professional Writing  [24169] ,"101 Braddock Rd, Frostburg, MD 21532",https://apply.interfolio.com/32959
Judson C,Assistant Professor of English  [24183] ,"302 Bibb St, Marion, AL 36756",https://apply.interfolio.com/32964
New Mexico SU,Writing Program Administrator and Associate Dept. Head  [24141] ,"1395 International Mall Clara Belle Williams Rm 132, Las Cruces, NM 88003",https://apply.interfolio.com/32946
New York Inst of Tech,English Faculty Position - China Programs  [24180] ,"Bejing, China ",https://apply.interfolio.com/32962
"Queens C, CUNY",Lecturer  [24144] ,"65-30 Kissena Blvd, Queens, NY 11367 ",https://apply.interfolio.com/32948
Saint John's U,"Professor of English, Open Rank  [24118] ","8000 Utopia Pky, Queens, NY 11439",https://apply.interfolio.com/32882
"U of Arkansas, Little Rock",Professor and Department Chair – Rhetoric and Writing / R99367  [24160] ,"2801 S University, Little Rock, AR 72204",https://apply.interfolio.com/32953
U of Memphis,Advanced Assistant or Associate Professor in Rhetoric and Composition  [24139] ,"467 Patterson Hall, Memphis, TN 38152",https://apply.interfolio.com/32944
U of North Texas,Department Chair  [24157],"1155 Union Circle #305298, Denton, TX 76203 ",https://apply.interfolio.com/32952
Walla Walla U,Associate Professor of Nineteenth-Century British Literature  [24153,"204 S College Av, College Place, WA 99324",https://apply.interfolio.com/32951
Western Carolina U,Assistant Professor of English Rhetoric and Composition focus  [24189] ,"Coulter 305, Cullowhee, NC 28723",https://apply.interfolio.com/32966
C of Charleston,Assistant Professor of English  [24219] ,"66 George St, Charleston, SC 29424 ",https://apply.interfolio.com/33065
Fayetteville SU,Assistant Professor of English  [24224] ,"1200 Murchison Rd, Fayetteville, NC 28301 ",https://apply.interfolio.com/33069
Kent SU,Assistant Professor of English  [24201] ,"113 Satterfield Hall, Kent, OH 44242",https://apply.interfolio.com/33054
Marymount Manhattan C,Assistant Professor of Academic Writing  [24195] ,"221 E 71 St, New York, NY 10021 ",https://apply.interfolio.com/33049
Purdue U,Postdoctoral Teaching Fellow  [24223] ,"Duhme Hall 134 105 N Russell St, West Lafayette, IN 47906 ",https://apply.interfolio.com/33068
U of Central Missouri,Assistant Professor of Rhetoric and Composition/Technical Writing  [24214] ,"336 Martin, Warrensburg, MO 64093 ",https://apply.interfolio.com/33061
U of Maine,Assistant Professor of Technical Communication  [24191] ,"304 Neville Hall, Orono, ME 04469",https://apply.interfolio.com/33048
"U of Massachusetts, Dartmouth","Assistant Professor, English/Writing and Reading Center, Faculty Director  [24197] ","285 Old Westport Rd, North Dartmouth, MA 02747",https://apply.interfolio.com/33051
U of Southern Maine,"Assistant Professor of English, Director of Writing Programs  [24228] ","PO Box 9300 96 Falmouth St, Portland, ME 04104",https://apply.interfolio.com/33071
"U of Washington, Bothell","Rhetoric & Composition, School of Interdisciplinary Arts and Sciences –Lecturer, Full-time  [24210] ","18115 Campus Way NE, Bothell, WA 98011 ",https://apply.interfolio.com/33060
Regent U,Assistant Professor of English  [24273] ,"1000 Regent University Dr, Virginia Beach, VA 23464 ",https://apply.interfolio.com/33155
"U of Texas, El Paso",Assistant/Associate Professor (Rhetoric and Writing Studies)  [24252] ,"500 W University Av, 113 Hudspeth Hall, El Paso, TX 79968",https://apply.interfolio.com/33145
Victor Valley C,"FULL TIME INSTRUCTOR, ENGLISH  [24276] ","18422 Bear Valley Rd, Victorville, CA 92392",https://apply.interfolio.com/33157
Walla Walla U,Assistant Professor of Children's Literature and Secondary English Education  [24269] ,"204 S College Av, College Place, WA 99324",https://apply.interfolio.com/33153
"CUNY, LaGuardia Comm C",Assistant Professor of English  [24298] ,"31-10 Thomson Av, Long Island City, NY 11101",https://apply.interfolio.com/33238
Elizabethtown C,Visiting Professor in English  [24277] ,"1 Alpha Dr, Elizabethtown, PA 17022 ",https://apply.interfolio.com/33218
Florida SU,Publishing and Writing Entrepreneur in Residence  [24289] ,"405 Williams Bldg 631 University Way, Tallahassee, FL 32306",https://apply.interfolio.com/33224
Michigan State University ,"Social Media, Emerging Technologies , Computational Analytics (Rank Open)  [24283] ","319 Linton Hall, East Lansing, MI 48824 ",https://apply.interfolio.com/33222
Michigan State University ,Digital Media and User Experience (Assistant Professor)  [24284] ,"319 Linton Hall, East Lansing, MI 48824",https://apply.interfolio.com/33223
Millersville U,English Department - Two Assistant Professor Positions  [24294] ,"PO Box 1002, Millersville, PA 17551 ",https://apply.interfolio.com/33228
"U of Colorado, Colorado Springs","Writing Center Director, Ph.D. Preferred  [24280] ","1420 Austin Bluffs Pky, Colorado Springs, CO 80918 ",https://apply.interfolio.com/33220
U of the Arts,Director of First Year Writing  [24290] ,"320 S Broad St, Philadelphia, PA 19102 ",https://apply.interfolio.com/33225
"U of Wisconsin, Platteville",Assistant Professor of English - Writing and Editing  [24336] ,"Humanities, 1 University Plz, Platteville, WI 53818 ",https://apply.interfolio.com/33313
Virginia Commonwealth U,"Faculty Opening, Focused Inquiry  [24339] ","1015 Floyd Ave Room 5128, Richmond, VA 23284",https://apply.interfolio.com/33338
Harper College,"English Full Time, Tenure Track Faculty  [24342] ","1200 W Algonquin Rd, Palatine, IL 60067 ",https://apply.interfolio.com/33400
New York Inst of Tech,English/Technical Writing Assistant Professor  [24368] ,"PO Box 8000, Old Westbury, NY 11568 ",https://apply.interfolio.com/33410
"U of Wisconsin, Stevens Point","Assistant Professor, Teaching Methods: Literature/Reading  [24352] ","1801 Fourth Av 486 CCC, Stevens Point, WI 54481",https://apply.interfolio.com/33402
"U of Wisconsin, Stevens Point","Assistant Professor, Professional Writing/Editing & Publishing/Book History  [24354] ","1801 Fourth Av 486 CCC, Stevens Point, WI 54481",https://apply.interfolio.com/33404
Georgia Inst of Tech,Marion L. Brittain Postdoctoral Fellowship  [24414] ,"686 Cherry St, 336 Skiles Bldg, Atlanta, GA 30332 ",https://apply.interfolio.com/33504
Phillips Academy,Instructor in English  [24412] ,"180 Main Street, Andover, MA 01810 ",https://apply.interfolio.com/33503
