Institution,Position,Address,URL
Augustana U,Assistant or Associate Professor of English and Journalism  [29025] ,"Sioux Falls, SD 57197",https://apply.interfolio.com/44674
Boston U,"Director of Writing Program; Arts & Sciences Writing Program, Boston University  [29079]","Boston, MA 02215",https://apply.interfolio.com/44702
"California SU, San Bernardino",Assistant Professor of Composition/Rhetoric  [28993],"San Bernardino, CA 92407",https://apply.interfolio.com/44668
Carnegie Mellon U,Tenure-Track Assistant Professor of English – Rhetoric  [29165] ,"Pittsburgh, PA 15213",https://apply.interfolio.com/44906
DePaul U,"Assistant Professor of Writing, Rhetoric, & Discourse  [29089] ","Chicago, IL 60614",https://apply.interfolio.com/44802
Florida Atlantic U,Assistant Professor of Rhetoric and Composition  [28969],"Boca Raton, FL 33431",https://apply.interfolio.com/44652
Grand Valley SU,Assistant Professor of Writing  [29144],"Allendale, MI 49401",https://apply.interfolio.com/44764
Hampden-Sydney C,Assistant Professor of Rhetoric  [29149] ,"Hampden-Sydney, VA 23943",https://apply.interfolio.com/44605
Hampden-Sydney C,Assistant Professor of Rhetoric  [29150],"Hampden-Sydney, VA 23943",https://apply.interfolio.com/44603
Iowa SU,"Assistant Director, Writing and Media Center  [29057] ","Ames, IA 50011",https://apply.interfolio.com/44687
Kennesaw SU,Director of the Master of Arts in Professional Writing Program  [28977] ,"Kennesaw, GA 30144",https://apply.interfolio.com/44656
Kennesaw SU,Assistant Professor of English in Applied and Professional Writing  [28978],"Kennesaw, GA 30144",https://apply.interfolio.com/44657
Lehigh U,Assistant Professor of Composition-Rhetoric  [28963] ,"Bethlehem, PA 18015",https://apply.interfolio.com/44781
"Lehman C, CUNY",Assistant/Associate Professor - Writing Across Disciplines (English)  [29053] ,"Bronx, NY 10468",https://apply.interfolio.com/44684
Meredith C,Assistant Professor of English--Professional Writing  [28893],"Raleigh, NC 27607",https://apply.interfolio.com/44537
Miami U,Assistant/Associate Professor and Director of the Writing Center  [29061] ,"Oxford, OH 45056",https://apply.interfolio.com/44691
Miami U,Assistant/Associate Professor and Director of Composition  [29064],"Oxford, OH 45056",https://apply.interfolio.com/44694
Missouri U of Science & Tech,Assistant Professor  [29001] ,"Rolla, MO 65409",https://apply.interfolio.com/44671
Ohio SU,Assistant Professor  [29002] ,"Columbus, OH 43210",https://apply.interfolio.com/44544
Rollins C,"Assistant Director, Tutoring Services  [29094] ","Winter Park, FL 32789",https://apply.interfolio.com/44717
Rollins C,"Director, Tutoring and Writing Center  [29095]","Winter Park, FL 32789",https://apply.interfolio.com/44718
San Jose SU,Assistant Professor (Tenure-track) Rhetoric and Composition (Professional/Workplace Writing)  [29168],"San Jose, CA 95192",https://apply.interfolio.com/44861
School of the Art Inst of Chicago,FULL-TIME FACULTY POSITION IN ENGLISH/COORDINATOR OF THE FIRST-YEAR SEMINAR PROGRAM  [29086] ,"Chicago, IL 60603",https://apply.interfolio.com/44703
Syracuse U,Assistant Professor of Writing and Rhetoric  [28904] ,"Syracuse, NY 13244",https://apply.interfolio.com/44630
Temple U,Tenure Track Assistant Professor position in Composition/Rhetoric  [29162],"Philadelphia, PA 19122",https://apply.interfolio.com/44901
Texas Christian U,Assistant Professor in Black Studies  [29129] ,"Fort Worth, TX 76129",https://apply.interfolio.com/44732
U of Utah,Professor of Writing & Rhetoric  [29157] ,"Salt Lake City, UT 84112 ",https://apply.interfolio.com/44868
Union U,Director of the Writing Center  [29060],"Jackson, TN 38305",https://apply.interfolio.com/44689
Virginia Military Inst,Assistant Professor of English  [28927] ,"Lexington, VA 24450",https://apply.interfolio.com/44640
Virginia Military Inst,Assistant Professor of English  [28928] ,"Lexington, VA 24450",https://apply.interfolio.com/44641
West Texas A&M U,Assistant or Associate Professor of Rhetoric & Composition  [28979] ,"Canyon, TX 79016",https://apply.interfolio.com/44658
Xavier U,Assistant Professor of English  [29134] ,"Cincinnati, OH 45207",https://apply.interfolio.com/44734
Santa Clara U,Tenure-Track Assistant Professor of English  [28919] ,"Santa Clara, CA 95053",https://apply.interfolio.com/44636
Providence C,Assistant Professor of English (Writing Specialist)  [29183] ,"Providence, RI 02918",https://apply.interfolio.com/44936
"California SU, Sacramento",Assistant Professor. Rhetoric and Composition (Professional and Technical Writing)  [29192] ,"Sacramento, CA 95819",https://apply.interfolio.com/45087
Indiana U Northwest,Clinical Assistant Professor - English  [29234] ,"Gary, IN 46408",https://apply.interfolio.com/45104
Penn State U,Assistant Professor in Professional Writing  [29202],"University Park, PA 16802",https://apply.interfolio.com/45095
Thomas Jefferson U,"Assistant Professor of Writing, Rhetoric and Literature  [29273] ","Philadelphia, PA 19144 ",https://apply.interfolio.com/45114
U of Alabama,"Assistant Professor of Composition, Rhetoric, and English Studies (CRES)  [29266] ","Tuscaloosa, AL 35487",https://apply.interfolio.com/45111
"U of California, San Diego","Assistant Director, UC San Diego Marshall College Dimensions of Culture Writing Program  [29196] ","LaJolla, CA 92093",https://apply.interfolio.com/45090
U of Toronto at Mississauga,Assistant or Associate Professor Of Narrative and Communication  [29193],"Mississauga, ON CA L5L 1C6",https://apply.interfolio.com/45088
Indiana Institute of Technology,Assistant/Associate Professor of English [rhetmap 1],"Fort Wayne, Indiana 46803",https://hr.indianatech.edu/job/assistantassociate-professor-english/
Albion C,Visiting Assistant Professor of English  [29384] ,"Albion, MI 49224",https://apply.interfolio.com/45223
American U of Sharjah,Assistant or Associate Professor in 19th-Century English Literatures  [29343] ,"Sharjah, 01 AE 26666",https://apply.interfolio.com/45397
Brigham Young U,"English Rhetoric and Composition (CFS Track, Professorial)  [29338] ","Provo, UT 84602",https://apply.interfolio.com/45357
East Tennessee SU,"Assistant Professor, Rhetoric and Composition  [29349]","Johnson City, TN 37614",https://apply.interfolio.com/45362
Linfield C,Assistant Professor English/Director of Writing  [29346] ,"McMinnville, OR 97128",https://apply.interfolio.com/45361
Marlboro C,Professor of Literature and Writing  [29405],"Marlboro, VT 05344",https://apply.interfolio.com/45368
Massachusetts Maritime Academy,"FY17-18 Full-time, tenure-track Assistant or Associate Professor of Rhetoric and Composition  [29385] ","Buzzards Bay, MA 02532",https://apply.interfolio.com/45366
Nazareth C of Rochester,Assistant Professor of Rhetoric and Composition  [29326],"Rochester, NY 14618",https://apply.interfolio.com/45351
"Queens C, CUNY","Assistant Professor of Composition, Rhetoric and Writing (Specialization in Multilingualism)  [29428]","Queens, NY 11367",https://apply.interfolio.com/45372
Texas Tech U,Assistant Professor in Technical Communication & Rhetoric  [29301] ,"Lubbock, TX 79409",https://apply.interfolio.com/45344
Texas Tech U,Assistant Professor of Practice in First Year Writing  [29430] ,"Lubbock, TX 79409",https://apply.interfolio.com/45374
Texas Tech U,"Assistant Professor of Practice in Literature, Film, and Composition  [29431]","Lubbock, TX 79409",https://apply.interfolio.com/45375
"U of Nevada, Reno","Lecturer II, English  [29330] ","Reno, NV 89557",https://apply.interfolio.com/45352
"U of Nevada, Reno","Associate Professor, Director of Core Writing  [29422] ","Reno, NV 89557",https://apply.interfolio.com/45369
U of Pittsburgh,Assistant or advanced Assistant Professor in Composition with specialty in African-American rhetoric  [29344],"Pittsburgh, PA 15260",https://apply.interfolio.com/45196
University of North Texas,Assistant Professor of Technical Communication [rhetmap 2],"Denton, TX 76201",https://facultyjobs.unt.edu/applicants/jsp/shared/position/JobDetails_css.jsp?postingId=177861
Virginia Tech ,Director of Composition [rhetmap 3],"Blaksburg, VA 24060",https://listings.jobs.vt.edu/postings/80105
American U of Beirut,Tenure-track faculty position in Rhetoric and Composition  [29565],"Beirut, Lebanon ",https://apply.interfolio.com/45696
Arizona State University,Assistant Professor  [29462] ,"Tempe, AZ 85287",https://apply.interfolio.com/45664
Chattanooga S Comm C,Post-Master's Fellowship Visiting Instructor Position  [29547] ,"Chattanooga, TN 37406",https://apply.interfolio.com/45688
Florida State University,"Assistant Professor, Rhetoric and Composition  [29552] ","Tallahassee, FL 32306",https://apply.interfolio.com/45692
Northwestern SU of Louisiana,Assistant Professor of English  [29515],"Natchitoches, LA 71497",https://apply.interfolio.com/45673
Oklahoma State University,Assistant Professor - Writing Studies  [29542] ,"Stillwater, OK 74078",https://apply.interfolio.com/45686
"Queens C, CUNY","Assistant Professor of Composition, Rhetoric and Writing (Specialization in Multilingualism)  [29428]","Queens, NY 11367",https://apply.interfolio.com/45372
"SU of New York, C at Cortland",Assistant Professor in Professional Writing and Rhetoric  [29569] ,"Cortland, NY 13045",https://apply.interfolio.com/45700
"SU of New York, U at Albany","Assistant Professor, Digital Rhetorics/Professional Writing  [29447]","Albany, NY 12222 ",https://apply.interfolio.com/45662
San Francisco SU,Tenure-Track Assistant Professor position in Writing Studies  [29555] ,"San Francisco, CA 94132",https://apply.interfolio.com/45693
"Southern Illinois U, Edwardsville","Assistant Professor of English, Composition and Rhetoric  [29574] ","Edwardsville, IL 62026 ",https://apply.interfolio.com/45708
U of Delaware,"Continuing-Track Assistant Professor in Professional Writing, English Department  [29524]","Newark, DE 19716",https://apply.interfolio.com/45494
U of North Texas,Associate Director of the First-year Writing Program/Lecturer (Open Rank)  [29531],"Denton, TX 76203",https://apply.interfolio.com/45680
U of North Texas,Assistant Professor of Rhetoric and Composition Studies  [29539],"Denton, TX 76203",https://apply.interfolio.com/45684
U of Notre Dame,Assistant Teaching Professor of Writing and Rhetoric  [29483] ,"Notre Dame, IN 46556",https://apply.interfolio.com/43633
U of Notre Dame,"Associate Director, University Writing Center  [29484] ","Notre Dame, IN 46556",https://apply.interfolio.com/43635
University of Oregon ,"Assistant, Associate, or Full Professor of English in Rhetoric and Composition  [29448] ","Eugene, OR 97403",https://apply.interfolio.com/45663
York University ,Assistant Professor  [29568],"Toronto, ON Canada M3J 1P3",https://apply.interfolio.com/45699
University of Kentucky,"Assistant Professor in Writing, Rhetoric, and Digital Studies [rhetmap 4]","Lexington, KY 40506",https://ukjobs.uky.edu/postings/159539
Appalachian SU,Assistant or Associate Professor of Rhetoric and Composition  [29627] ,"Boone, NC 28608",https://apply.interfolio.com/45904
Appalachian SU,"Managing Editor, Cold Mountain Review; Business Manager, Visiting Writers; Lecturer  [29628]","Boone, NC 28608",https://apply.interfolio.com/45905
Azusa Pacific U,Assistant or Associate Professor in English (F112)  [29658],"Azusa, CA 91702",https://apply.interfolio.com/45950
Beloit C,Two Tenure-Track Assistant Professor Positions in English  [29665] ,"Beloit, WI 53511",https://apply.interfolio.com/45917
Canisius C,Assistant Professor of English & Director of the Writing Center  [29702] ,"Buffalo, NY 14208",https://apply.interfolio.com/45926
Northern SU,Assistant Professor of English  [29652],"Aberdeen, SD 57401",https://apply.interfolio.com/45912
Rice U,Andrew W. Mellon Postdoctoral Fellow in the 2018-19 Rice Seminar  [29704] ,"Houston, TX 77005",https://apply.interfolio.com/45927
Saint Bonaventure U,Tenure Track Assistant Professor of English  [29626] ,"St Bonaventure, NY 14778",https://apply.interfolio.com/45902
U of Central Florida,Visiting Assistant Professor of Technical Communication  [29602],"Orlando, FL 32816",http://www.jobswithucf.com/postings/51019
"U of Michigan, Dearborn",LEO Lecturer III Composition and Rhetoric  [29650],"Dearborn, MI 48128 ",https://apply.interfolio.com/45240
"U of South Carolina, Aiken",Assistant Professor of English  [29625],"Aiken, SC 29801",https://apply.interfolio.com/45901
US Military Academy,Teaching Postdoctoral Positions for English Composition and Literature  [29648],"West Point, NY 10996",https://apply.interfolio.com/45911
Utah Valley U,Assistant Professor of English  [29689] ,"Orem, UT 84058",https://apply.interfolio.com/45924
Valparaiso U,Assistant Professor of English  [29643] ,"Valparaiso, IN 46383",https://apply.interfolio.com/45500
Valparaiso U,Assistant Professor of English  [29644] ,"Valparaiso, IN 46383",https://apply.interfolio.com/45496
West Virginia U,Assistant Professor - Professional and Technical Writing  [29706] ,"Morgantown, WV 26506 ",https://apply.interfolio.com/45928
Whitworth U,Assistant Professor of English  [29631],"Spokane, WA 99251 ",https://apply.interfolio.com/45908
Augsburg C,Assistant Professor of English  [29743] ,"Minneapolis, MN 55454",https://apply.interfolio.com/46171
"California SU, Fresno",Poetry Assistant Professor  [29784] ,"Fresno, CA 93740",https://apply.interfolio.com/46173
Georgia Inst of Tech,Two TT hires in black media/digital media and digital media/games [29789],"Atlanta, GA 30332",https://apply.interfolio.com/46177
Georgia Inst of Tech,Tenure-Track Assistant Professor: Technical Communication [29790],"Atlanta, GA 30332",https://apply.interfolio.com/46178
Tennessee Tech U,"Assistant Professor of English, Professional and Technical Communication  [29723] ","Cookeville, TN 38505",https://apply.interfolio.com/46168
"U of California, Merced",Director of the Writing Center  [29767] ,"Merced, CA 95343",https://apply.interfolio.com/46172
U of Northern Colorado,Writing Program Director (Assistant or Associate Professor)  [29786],"Greeley, CO 80639",https://apply.interfolio.com/46175
Berry C,Visiting Instructor/Assistant Professor  [29829] ,"Berry, GA 30149",https://apply.interfolio.com/46364
Colorado C,"Director, Ruth Barton Writing Center  [29884] ","Colorado Springs, CO 80903",https://apply.interfolio.com/46376
Hamline U,Assistant Professor of English  [29886] ,"St Paul, MN 55104 ",https://apply.interfolio.com/46377
King's College,Assistant Professor of English and Writing Coordinator  [29913] ,"New York, NY 10004",https://apply.interfolio.com/46384
La Salle U,Tenure-track assistant professor with a specialization and doctorate in Rhetoric and Composition.  [29919],"Philadelphia, PA 19141",https://apply.interfolio.com/46387
Merrimack College,Coordinator of First-Year Writing  [29874],"North Andover, MA 01845",https://apply.interfolio.com/46374
New York U,"DIRECTOR OF WRITING IN THE DISCIPLINES, Expository Writing Program  [29882] ","New York, NY 10003",https://apply.interfolio.com/46239
Northwest Missouri SU,Assistant Professor of English with Specialization in Composition and Rhetoric (Writing Center)  [29872],"Maryville, MO 64468",https://apply.interfolio.com/46372
Northwest Missouri SU,Assistant Professor of English with Specialization in Composition and Rhetoric  [29873],"Maryville, MO 64468",https://apply.interfolio.com/46373
"SU of New York, Buffalo State","Assistant Professor of English/Director, College Writing Program  [29883] ","Buffalo, NY 14222",https://apply.interfolio.com/46375
Saint John's U,"Assistant Professor - First Year Composition, Full-time tenure track faculty  [29863]","Queens, NY 11439",https://apply.interfolio.com/46369
Thomas Jefferson U,Assistant Professor of Writing and Rhetoric  [29909],"Philadelphia, PA 19144",https://apply.interfolio.com/46383
"U of Arkansas, Fayetteville",Associate Professor and Endowed Brown Chair in English Literacy  [29827],"Fayetteville, AR 72701",https://apply.interfolio.com/46361
"U of California, Irvine",Lecturer with Potential Security of Employment in the Academic English Program  [29888] ,"Irvine, CA 92697",https://apply.interfolio.com/46378
"U of California, Santa Cruz",Writing Program: Teaching Professor (Open Until Filled; Initial Review 11/02/17)  [29826] ,"Santa Cruz, CA 95064 ",https://apply.interfolio.com/46360
U of Central Florida,"Assistant Professor, Writing and Rhetoric  [29864]","Orlando, FL 32816",https://apply.interfolio.com/46370
University of Sydney,Lecturer in Writing Studies - Tenure Track [rhetmap 5],"Sydney, Australia ",https://www.timeshighereducation.com/unijobs/listing/65792/lecturer-in-writing-studies/
Boise State University,Assistant Professor - Rhetoric and Composition  [29984] ,"Boise, ID 83725",https://apply.interfolio.com/46645
"California SU, Dominguez Hills",Assistant or Associate Professor of English  [29972] ,"Carson, CA 90747",https://apply.interfolio.com/46643
East Tennessee SU,"Postdoctoral Teaching Fellow, English  [29964]","Johnson City, TN 37614",https://apply.interfolio.com/46639
Embry-Riddle Aeronautical U,Assistant Professor of Rhetoric and Composition  [30030] ,"Prescott, AZ 86301",https://apply.interfolio.com/46676
George Washington U,Assistant Professor of Writing specializing in STEM or social science writing  [29971] ,"Washington, DC 20007",https://apply.interfolio.com/46642
"U of California, San Diego","Assistant Director, Humanities Program, Revelle College, UC San Diego (Academic Coordinator I)  [29927]","La Jolla, CA 92093",https://apply.interfolio.com/46631
U of Delaware,Continuing Track Assistant Professor of English  [29967] ,"Newark, DE 19716",https://apply.interfolio.com/46355
U of Georgia,Lecturer in Rhetoric & Composition  [29983],"Athens, GA 30602",https://apply.interfolio.com/46644
U of Southern Mississippi,"Assistant Professor of English, Professional Writing and Rhetoric  [30003] ","Hattiesburg, MS 39406",https://apply.interfolio.com/46647
US Air Force Academy,Assistant Professor of English  [29985] ,"USAF Academy, CO 80840",https://apply.interfolio.com/46674
Whitworth U,Assistant Professor of English (Fiction)  [29943] ,"Spokane, WA 99251 ",https://apply.interfolio.com/46635
"University of Massachusetts, Amherst ","Director of the Writing Center and Western Mass Writing Project, Lecturer [rhetmap 6]","Amherst, MA, 10030",https://umass.interviewexchange.com/jobofferdetails.jsp?JOBID=91113
"University of Massachusetts, Amherst ","Assistant Director, Writing Program, Lecturer [rhetmap 7]","Amherst, MA, 10030",https://umass.interviewexchange.com/jobofferdetails.jsp;jsessionid=B048384AFC497FA74CDD9F708FD79148;jsessionid=D07F9BB37B88F8819D2559279EF08AAA?JOBID=91108
North Dakota State University,"Chair, Department of English [rhetmap 8]","Fargo, North Dakota 58108",https://jobs.ndsu.edu/postings/8732
North Dakota State University,"Associate or Full Professor, Community Literacy [rhetmap 9]","Fargo, North Dakota 58108",https://jobs.ndsu.edu/postings/8705
"Baruch C, CUNY",Assistant Professor - Translation and Interpreting Studies (English)  [30097],"New York, NY 10010 ",https://apply.interfolio.com/46881
Bemidji SU,Assistant Professor of English  [30062],"Bemidji, MN 56601",https://apply.interfolio.com/46864
Ohio Northern U,Assistant Professor of Rhetoric and Composition  [30094] ,"Ada, OH 45810",https://apply.interfolio.com/46896
Sonoma SU,"Assistant Professor, Writing Program Director  [30099] ","Rohnert Park, CA 94928",https://apply.interfolio.com/46897
Spartanburg Methodist College,Professor of English  [30073] ,"Spartanburg, SC 29301",https://apply.interfolio.com/46868
U of Massachusetts,Assistant Director of the Writing Program  [30082],"Amherst, MA 01003",https://apply.interfolio.com/46872
U of Massachusetts,Director of the Writing Center and Western Massachusetts Writing Project  [30083] ,"Amherst, MA 01003",https://apply.interfolio.com/46873
"U of Massachusetts, Dartmouth",First-Year English Lecturers  [30064] ,"North Dartmouth, MA 02747",https://apply.interfolio.com/46865
U of Virginia,Two Tenure-Track Assistant or Associate Professor Positions in English  [30102] ,"Charlottesville, VA 22904",https://apply.interfolio.com/46882
Virginia Commonwealth U,"Assistant Professor, Rhetoric & Writing  [30074]","Richmond, VA 23284",https://apply.interfolio.com/46869
American University of Beirut,Instructor of academic writing [rhetmap 10],"Beirut, Lebanon ",http://website.aub.edu.lb/fas/fas_home/academic-employment/Pages/academic_positions.aspx#19
Michigan State University,Assistant Professor of Culturally Engaged Digital Humanities/ Digital Rhetorics [rhetmap 11],"East Lansing, MI 40506",http://careers.msu.edu/cw/en-us/job/498071/assistant-professortenure-system
